SUBURB_NAME,SUBURB_NAME_ADJOINING
SANDGATE,DEAGON
SANDGATE,SHORNCLIFFE
SEVEN HILLS,CARINA
SEVEN HILLS,NORMAN PARK
SEVEN HILLS,CANNON HILL
SEVEN HILLS,CAMP HILL
SEVEN HILLS,MORNINGSIDE
SEVENTEEN MILE ROCKS,FIG TREE POCKET
SEVENTEEN MILE ROCKS,DARRA
SEVENTEEN MILE ROCKS,OXLEY
SEVENTEEN MILE ROCKS,SINNAMON PARK
SHERWOOD,CORINDA
SHERWOOD,GRACEVILLE
SHERWOOD,TENNYSON
SHERWOOD,FIG TREE POCKET
SHERWOOD,ROCKLEA
SHORNCLIFFE,SANDGATE
SHORNCLIFFE,NUDGEE BEACH
SHORNCLIFFE,BOONDALL
SINNAMON PARK,JAMBOREE HEIGHTS
SINNAMON PARK,MOUNT OMMANEY
SINNAMON PARK,SUMNER
SINNAMON PARK,DARRA
SINNAMON PARK,FIG TREE POCKET
SINNAMON PARK,JINDALEE
SINNAMON PARK,SEVENTEEN MILE ROCKS
SOUTH BRISBANE,DUTTON PARK
SOUTH BRISBANE,WEST END
SOUTH BRISBANE,HIGHGATE HILL
SOUTH BRISBANE,MILTON
SOUTH BRISBANE,WOOLLOONGABBA
SOUTH BRISBANE,BRISBANE CITY
SOUTH BRISBANE,KANGAROO POINT
SPRING HILL,BOWEN HILLS
SPRING HILL,FORTITUDE VALLEY
SPRING HILL,KELVIN GROVE
SPRING HILL,PETRIE TERRACE
SPRING HILL,BRISBANE CITY
SPRING HILL,HERSTON
ST LUCIA,HIGHGATE HILL
ST LUCIA,WEST END
ST LUCIA,YERONGA
ST LUCIA,DUTTON PARK
ST LUCIA,INDOOROOPILLY
ST LUCIA,TOOWONG
ST LUCIA,FAIRFIELD
ST LUCIA,TARINGA
STAFFORD,ALDERLEY
STAFFORD,EVERTON PARK
STAFFORD,KEDRON
STAFFORD,STAFFORD HEIGHTS
STAFFORD,ENOGGERA
STAFFORD,GORDON PARK
STAFFORD,GRANGE
STAFFORD HEIGHTS,KEDRON
STAFFORD HEIGHTS,CHERMSIDE WEST
STAFFORD HEIGHTS,EVERTON PARK
STAFFORD HEIGHTS,MCDOWALL
STAFFORD HEIGHTS,STAFFORD
STONES CORNER,GREENSLOPES
STONES CORNER,COORPAROO
STONES CORNER,WOOLLOONGABBA
STRETTON,RUNCORN
STRETTON,CALAMVALE
STRETTON,DREWVALE
STRETTON,KURABY
STRETTON,KARAWATHA
STRETTON,SUNNYBANK HILLS
SUMNER,MIDDLE PARK
SUMNER,JAMBOREE HEIGHTS
SUMNER,RIVERHILLS
SUMNER,WACOL
SUMNER,DARRA
SUMNER,SINNAMON PARK
SUNNYBANK,ACACIA RIDGE
SUNNYBANK,COOPERS PLAINS
SUNNYBANK,EIGHT MILE PLAINS
SUNNYBANK,ROBERTSON
SUNNYBANK,SUNNYBANK HILLS
SUNNYBANK,MACGREGOR
SUNNYBANK,RUNCORN
SUNNYBANK HILLS,ACACIA RIDGE
SUNNYBANK HILLS,SUNNYBANK
SUNNYBANK HILLS,ALGESTER
SUNNYBANK HILLS,CALAMVALE
SUNNYBANK HILLS,RUNCORN
SUNNYBANK HILLS,STRETTON
TAIGUM,FITZGIBBON
TAIGUM,ZILLMERE
TAIGUM,DEAGON
TAIGUM,BOONDALL
TARINGA,INDOOROOPILLY
TARINGA,ST LUCIA
TARINGA,MOUNT COOT-THA
TARINGA,TOOWONG
TARRAGINDI,ANNERLEY
TARRAGINDI,GREENSLOPES
TARRAGINDI,MOOROOKA
TARRAGINDI,NATHAN
TARRAGINDI,HOLLAND PARK WEST
TARRAGINDI,MOUNT GRAVATT
TARRAGINDI,SALISBURY
TENERIFFE,NEW FARM
TENERIFFE,NEWSTEAD
TENERIFFE,BULIMBA
TENERIFFE,FORTITUDE VALLEY
TENERIFFE,HAWTHORNE
TENNYSON,GRACEVILLE
TENNYSON,ROCKLEA
TENNYSON,SHERWOOD
TENNYSON,INDOOROOPILLY
TENNYSON,YEERONGPILLY
THE GAP,ASHGROVE
THE GAP,ENOGGERA
THE GAP,ENOGGERA RESERVOIR
THE GAP,KEPERRA
THE GAP,UPPER KEDRON
THE GAP,MOUNT COOT-THA
THE GAP,BARDON
THE GAP,BROOKFIELD
TINGALPA,WYNNUM WEST
TINGALPA,BELMONT
TINGALPA,CANNON HILL
TINGALPA,CARINDALE
TINGALPA,GUMDALE
TINGALPA,HEMMANT
TINGALPA,WAKERLEY
TINGALPA,CARINA
TINGALPA,MANLY WEST
TINGALPA,MURARRIE
TOOWONG,AUCHENFLOWER
TOOWONG,ST LUCIA
TOOWONG,TARINGA
TOOWONG,BARDON
TOOWONG,WEST END
TOOWONG,MOUNT COOT-THA
UPPER BROOKFIELD,BROOKFIELD
UPPER BROOKFIELD,ENOGGERA RESERVOIR
UPPER BROOKFIELD,KHOLO
UPPER BROOKFIELD,LAKE MANCHESTER
UPPER BROOKFIELD,PULLENVALE
UPPER KEDRON,ENOGGERA RESERVOIR
UPPER KEDRON,FERNY GROVE
UPPER KEDRON,KEPERRA
UPPER KEDRON,THE GAP
UPPER MOUNT GRAVATT,EIGHT MILE PLAINS
UPPER MOUNT GRAVATT,MACGREGOR
UPPER MOUNT GRAVATT,MOUNT GRAVATT EAST
UPPER MOUNT GRAVATT,NATHAN
UPPER MOUNT GRAVATT,WISHART
UPPER MOUNT GRAVATT,MANSFIELD
UPPER MOUNT GRAVATT,MOUNT GRAVATT
VIRGINIA,GEEBUNG
VIRGINIA,WAVELL HEIGHTS
VIRGINIA,BANYO
VIRGINIA,BOONDALL
VIRGINIA,NORTHGATE
VIRGINIA,NUNDAH
WACOL,FOREST LAKE
WACOL,RIVERHILLS
WACOL,SUMNER
WACOL,DARRA
WACOL,ELLEN GROVE
WACOL,MOGGILL
WACOL,RICHLANDS
WAKERLEY,LOTA
WAKERLEY,MANLY WEST
WAKERLEY,RANSOME
WAKERLEY,GUMDALE
WAKERLEY,TINGALPA
WAVELL HEIGHTS,CHERMSIDE
WAVELL HEIGHTS,GEEBUNG
WAVELL HEIGHTS,KALINGA
WAVELL HEIGHTS,KEDRON
WAVELL HEIGHTS,NUNDAH
WAVELL HEIGHTS,VIRGINIA
WEST END,MILTON
WEST END,SOUTH BRISBANE
WEST END,AUCHENFLOWER
WEST END,HIGHGATE HILL
WEST END,ST LUCIA
WEST END,TOOWONG
WESTLAKE,BELLBOWRIE
WESTLAKE,RIVERHILLS
WESTLAKE,MOUNT OMMANEY
WESTLAKE,MIDDLE PARK
WESTLAKE,PINJARRA HILLS
WILLAWONG,ALGESTER
WILLAWONG,DURACK
WILLAWONG,PALLARA
WILLAWONG,ROCKLEA
WILLAWONG,ACACIA RIDGE
WILLAWONG,OXLEY
WILLAWONG,ARCHERFIELD
WILLAWONG,DOOLANDELLA
WILSTON,NEWMARKET
WILSTON,GRANGE
WILSTON,HERSTON
WILSTON,KELVIN GROVE
WILSTON,WINDSOR
WINDSOR,BOWEN HILLS
WINDSOR,GRANGE
WINDSOR,WILSTON
WINDSOR,ALBION
WINDSOR,HERSTON
WINDSOR,LUTWYCHE
WISHART,EIGHT MILE PLAINS
WISHART,MANSFIELD
WISHART,ROCHEDALE
WISHART,UPPER MOUNT GRAVATT
WOOLLOONGABBA,EAST BRISBANE
WOOLLOONGABBA,STONES CORNER
WOOLLOONGABBA,DUTTON PARK
WOOLLOONGABBA,FAIRFIELD
WOOLLOONGABBA,GREENSLOPES
WOOLLOONGABBA,KANGAROO POINT
WOOLLOONGABBA,SOUTH BRISBANE
WOOLLOONGABBA,ANNERLEY
WOOLLOONGABBA,COORPAROO
WOOLOOWIN,CLAYFIELD
WOOLOOWIN,KEDRON
WOOLOOWIN,LUTWYCHE
WOOLOOWIN,ALBION
WOOLOOWIN,KALINGA
WYNNUM,MANLY
WYNNUM,MANLY WEST
WYNNUM,PORT OF BRISBANE
WYNNUM,LYTTON
WYNNUM,WYNNUM WEST
WYNNUM WEST,MANLY WEST
WYNNUM WEST,WYNNUM
WYNNUM WEST,HEMMANT
WYNNUM WEST,LYTTON
WYNNUM WEST,TINGALPA
YEERONGPILLY,INDOOROOPILLY
YEERONGPILLY,ROCKLEA
YEERONGPILLY,TENNYSON
YEERONGPILLY,YERONGA
YEERONGPILLY,ANNERLEY
YEERONGPILLY,MOOROOKA
YERONGA,YEERONGPILLY
YERONGA,ANNERLEY
YERONGA,FAIRFIELD
YERONGA,INDOOROOPILLY
YERONGA,ST LUCIA
ZILLMERE,ASPLEY
ZILLMERE,BOONDALL
ZILLMERE,FITZGIBBON
ZILLMERE,TAIGUM
ZILLMERE,CARSELDINE
ZILLMERE,GEEBUNG
